brutal_segment_id,recording,segment_in_recording,segment_filename,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,samples_per_segment
137,107_2b3_Pl_mc_AKGC417L.wav,2,107_2b3_Pl_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
138,107_2b3_Pl_mc_AKGC417L.wav,3,107_2b3_Pl_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
139,107_2b3_Pl_mc_AKGC417L.wav,4,107_2b3_Pl_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
140,107_2b3_Pl_mc_AKGC417L.wav,5,107_2b3_Pl_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
141,107_2b3_Pl_mc_AKGC417L.wav,6,107_2b3_Pl_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
142,107_2b3_Pl_mc_AKGC417L.wav,7,107_2b3_Pl_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
143,107_2b3_Pl_mc_AKGC417L.wav,8,107_2b3_Pl_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
144,107_2b3_Pr_mc_AKGC417L.wav,1,107_2b3_Pr_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
145,107_2b3_Pr_mc_AKGC417L.wav,2,107_2b3_Pr_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
146,107_2b3_Pr_mc_AKGC417L.wav,3,107_2b3_Pr_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
147,107_2b3_Pr_mc_AKGC417L.wav,4,107_2b3_Pr_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
148,107_2b3_Pr_mc_AKGC417L.wav,5,107_2b3_Pr_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
149,107_2b3_Pr_mc_AKGC417L.wav,6,107_2b3_Pr_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
150,107_2b3_Pr_mc_AKGC417L.wav,7,107_2b3_Pr_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
151,107_2b3_Pr_mc_AKGC417L.wav,8,107_2b3_Pr_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
152,107_2b3_Tc_mc_AKGC417L.wav,1,107_2b3_Tc_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
153,107_2b3_Tc_mc_AKGC417L.wav,2,107_2b3_Tc_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
154,107_2b3_Tc_mc_AKGC417L.wav,3,107_2b3_Tc_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
155,107_2b3_Tc_mc_AKGC417L.wav,4,107_2b3_Tc_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
156,107_2b3_Tc_mc_AKGC417L.wav,5,107_2b3_Tc_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
157,107_2b3_Tc_mc_AKGC417L.wav,6,107_2b3_Tc_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
158,107_2b3_Tc_mc_AKGC417L.wav,7,107_2b3_Tc_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
159,107_2b3_Tc_mc_AKGC417L.wav,8,107_2b3_Tc_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
160,107_2b4_Al_mc_AKGC417L.wav,1,107_2b4_Al_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
161,107_2b4_Al_mc_AKGC417L.wav,2,107_2b4_Al_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
162,107_2b4_Al_mc_AKGC417L.wav,3,107_2b4_Al_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
163,107_2b4_Al_mc_AKGC417L.wav,4,107_2b4_Al_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
164,107_2b4_Al_mc_AKGC417L.wav,5,107_2b4_Al_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
165,107_2b4_Al_mc_AKGC417L.wav,6,107_2b4_Al_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
166,107_2b4_Al_mc_AKGC417L.wav,7,107_2b4_Al_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
167,107_2b4_Al_mc_AKGC417L.wav,8,107_2b4_Al_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
168,107_2b4_Ar_mc_AKGC417L.wav,1,107_2b4_Ar_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
169,107_2b4_Ar_mc_AKGC417L.wav,2,107_2b4_Ar_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
170,107_2b4_Ar_mc_AKGC417L.wav,3,107_2b4_Ar_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
171,107_2b4_Ar_mc_AKGC417L.wav,4,107_2b4_Ar_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
172,107_2b4_Ar_mc_AKGC417L.wav,5,107_2b4_Ar_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
173,107_2b4_Ar_mc_AKGC417L.wav,6,107_2b4_Ar_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
174,107_2b4_Ar_mc_AKGC417L.wav,7,107_2b4_Ar_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
175,107_2b4_Ar_mc_AKGC417L.wav,8,107_2b4_Ar_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
176,107_2b4_Ll_mc_AKGC417L.wav,1,107_2b4_Ll_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
177,107_2b4_Ll_mc_AKGC417L.wav,2,107_2b4_Ll_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
178,107_2b4_Ll_mc_AKGC417L.wav,3,107_2b4_Ll_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
179,107_2b4_Ll_mc_AKGC417L.wav,4,107_2b4_Ll_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
