cycle_id,recording,cycle_in_recording,cycle_filename,peak_frame,peak_time_s,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,frame_ms,hop_ms,centroid_threshold,peak_centroid_value
15,101_1b1_Pr_sc_Meditron.wav,3,101_1b1_Pr_sc_Meditron_cycle_3.wav,529,5.29,198009,308259,4.49,6.99,2.5,44100,25.0,10.0,470.6,2168.17
16,101_1b1_Pr_sc_Meditron.wav,4,101_1b1_Pr_sc_Meditron_cycle_4.wav,663,6.63,257103,367353,5.83,8.33,2.5,44100,25.0,10.0,470.6,943.56
17,101_1b1_Pr_sc_Meditron.wav,5,101_1b1_Pr_sc_Meditron_cycle_5.wav,798,7.98,316638,426888,7.18,9.68,2.5,44100,25.0,10.0,470.6,1801.96
18,101_1b1_Pr_sc_Meditron.wav,6,101_1b1_Pr_sc_Meditron_cycle_6.wav,998,9.98,404838,515088,9.18,11.68,2.5,44100,25.0,10.0,470.6,1951.32
19,101_1b1_Pr_sc_Meditron.wav,7,101_1b1_Pr_sc_Meditron_cycle_7.wav,1120,11.2,458640,568890,10.4,12.9,2.5,44100,25.0,10.0,470.6,1823.17
20,101_1b1_Pr_sc_Meditron.wav,8,101_1b1_Pr_sc_Meditron_cycle_8.wav,1286,12.86,531846,642096,12.06,14.56,2.5,44100,25.0,10.0,470.6,1669.61
21,101_1b1_Pr_sc_Meditron.wav,9,101_1b1_Pr_sc_Meditron_cycle_9.wav,1481,14.81,617841,728091,14.01,16.51,2.5,44100,25.0,10.0,470.6,1900.66
22,101_1b1_Pr_sc_Meditron.wav,10,101_1b1_Pr_sc_Meditron_cycle_10.wav,1642,16.42,688842,799092,15.62,18.12,2.5,44100,25.0,10.0,470.6,1523.15
23,101_1b1_Pr_sc_Meditron.wav,11,101_1b1_Pr_sc_Meditron_cycle_11.wav,1752,17.52,737352,847602,16.72,19.22,2.5,44100,25.0,10.0,470.6,1402.47
24,102_1b1_Ar_sc_Meditron.wav,1,102_1b1_Ar_sc_Meditron_cycle_1.wav,158,1.58,34398,144648,0.78,3.28,2.5,44100,25.0,10.0,570.87,1990.58
25,102_1b1_Ar_sc_Meditron.wav,2,102_1b1_Ar_sc_Meditron_cycle_2.wav,319,3.19,105399,215649,2.39,4.89,2.5,44100,25.0,10.0,570.87,1234.1
26,102_1b1_Ar_sc_Meditron.wav,3,102_1b1_Ar_sc_Meditron_cycle_3.wav,459,4.59,167139,277389,3.79,6.29,2.5,44100,25.0,10.0,570.87,2503.09
27,102_1b1_Ar_sc_Meditron.wav,4,102_1b1_Ar_sc_Meditron_cycle_4.wav,575,5.75,218295,328545,4.95,7.45,2.5,44100,25.0,10.0,570.87,2155.41
28,102_1b1_Ar_sc_Meditron.wav,5,102_1b1_Ar_sc_Meditron_cycle_5.wav,719,7.19,281799,392049,6.39,8.89,2.5,44100,25.0,10.0,570.87,1477.86
29,102_1b1_Ar_sc_Meditron.wav,6,102_1b1_Ar_sc_Meditron_cycle_6.wav,888,8.88,356328,466578,8.08,10.58,2.5,44100,25.0,10.0,570.87,1870.04
30,102_1b1_Ar_sc_Meditron.wav,7,102_1b1_Ar_sc_Meditron_cycle_7.wav,1042,10.42,424242,534492,9.62,12.12,2.5,44100,25.0,10.0,570.87,2335.12
31,102_1b1_Ar_sc_Meditron.wav,8,102_1b1_Ar_sc_Meditron_cycle_8.wav,1177,11.77,483777,594027,10.97,13.47,2.5,44100,25.0,10.0,570.87,2395.23
32,102_1b1_Ar_sc_Meditron.wav,9,102_1b1_Ar_sc_Meditron_cycle_9.wav,1282,12.82,530082,640332,12.02,14.52,2.5,44100,25.0,10.0,570.87,2309.45
33,102_1b1_Ar_sc_Meditron.wav,10,102_1b1_Ar_sc_Meditron_cycle_10.wav,1413,14.13,587853,698103,13.33,15.83,2.5,44100,25.0,10.0,570.87,1848.1
34,102_1b1_Ar_sc_Meditron.wav,11,102_1b1_Ar_sc_Meditron_cycle_11.wav,1531,15.31,639891,750141,14.51,17.01,2.5,44100,25.0,10.0,570.87,1426.0
35,102_1b1_Ar_sc_Meditron.wav,12,102_1b1_Ar_sc_Meditron_cycle_12.wav,1633,16.33,684873,795123,15.53,18.03,2.5,44100,25.0,10.0,570.87,2339.51
36,102_1b1_Ar_sc_Meditron.wav,13,102_1b1_Ar_sc_Meditron_cycle_13.wav,1744,17.44,733824,844074,16.64,19.14,2.5,44100,25.0,10.0,570.87,1734.57
37,103_2b2_Ar_mc_LittC2SE.wav,1,103_2b2_Ar_mc_LittC2SE_cycle_1.wav,152,1.52,31752,142002,0.72,3.22,2.5,44100,25.0,10.0,332.77,1092.87
38,103_2b2_Ar_mc_LittC2SE.wav,2,103_2b2_Ar_mc_LittC2SE_cycle_2.wav,313,3.13,102753,213003,2.33,4.83,2.5,44100,25.0,10.0,332.77,999.08
39,103_2b2_Ar_mc_LittC2SE.wav,3,103_2b2_Ar_mc_LittC2SE_cycle_3.wav,420,4.2,149940,260190,3.4,5.9,2.5,44100,25.0,10.0,332.77,1026.41
40,103_2b2_Ar_mc_LittC2SE.wav,4,103_2b2_Ar_mc_LittC2SE_cycle_4.wav,572,5.72,216972,327222,4.92,7.42,2.5,44100,25.0,10.0,332.77,3704.08
41,103_2b2_Ar_mc_LittC2SE.wav,5,103_2b2_Ar_mc_LittC2SE_cycle_5.wav,686,6.86,267246,377496,6.06,8.56,2.5,44100,25.0,10.0,332.77,1776.94
42,103_2b2_Ar_mc_LittC2SE.wav,6,103_2b2_Ar_mc_LittC2SE_cycle_6.wav,879,8.79,352359,462609,7.99,10.49,2.5,44100,25.0,10.0,332.77,2193.75
43,103_2b2_Ar_mc_LittC2SE.wav,7,103_2b2_Ar_mc_LittC2SE_cycle_7.wav,1000,10.0,405720,515970,9.2,11.7,2.5,44100,25.0,10.0,332.77,1222.43
44,103_2b2_Ar_mc_LittC2SE.wav,8,103_2b2_Ar_mc_LittC2SE_cycle_8.wav,1113,11.13,455553,565803,10.33,12.83,2.5,44100,25.0,10.0,332.77,959.32
45,103_2b2_Ar_mc_LittC2SE.wav,9,103_2b2_Ar_mc_LittC2SE_cycle_9.wav,1219,12.19,502299,612549,11.39,13.89,2.5,44100,25.0,10.0,332.77,819.03
46,103_2b2_Ar_mc_LittC2SE.wav,10,103_2b2_Ar_mc_LittC2SE_cycle_10.wav,1393,13.93,579033,689283,13.13,15.63,2.5,44100,25.0,10.0,332.77,1520.68
47,103_2b2_Ar_mc_LittC2SE.wav,11,103_2b2_Ar_mc_LittC2SE_cycle_11.wav,1574,15.74,658854,769104,14.94,17.44,2.5,44100,25.0,10.0,332.77,2779.58
48,103_2b2_Ar_mc_LittC2SE.wav,12,103_2b2_Ar_mc_LittC2SE_cycle_12.wav,1744,17.44,733824,844074,16.64,19.14,2.5,44100,25.0,10.0,332.77,1163.7
49,104_1b1_Al_sc_Litt3200.wav,1,104_1b1_Al_sc_Litt3200_cycle_1.wav,126,1.26,1840,11840,0.46,2.96,2.5,4000,25.0,10.0,150.95,350.68
50,104_1b1_Al_sc_Litt3200.wav,2,104_1b1_Al_sc_Litt3200_cycle_2.wav,323,3.23,9720,19720,2.43,4.93,2.5,4000,25.0,10.0,150.95,404.84
51,104_1b1_Al_sc_Litt3200.wav,3,104_1b1_Al_sc_Litt3200_cycle_3.wav,528,5.28,17920,27920,4.48,6.98,2.5,4000,25.0,10.0,150.95,403.72
52,104_1b1_Al_sc_Litt3200.wav,4,104_1b1_Al_sc_Litt3200_cycle_4.wav,636,6.36,22240,32240,5.56,8.06,2.5,4000,25.0,10.0,150.95,198.01
53,104_1b1_Al_sc_Litt3200.wav,5,104_1b1_Al_sc_Litt3200_cycle_5.wav,755,7.55,27000,37000,6.75,9.25,2.5,4000,25.0,10.0,150.95,365.2
54,104_1b1_Al_sc_Litt3200.wav,6,104_1b1_Al_sc_Litt3200_cycle_6.wav,886,8.86,32240,42240,8.06,10.56,2.5,4000,25.0,10.0,150.95,225.63
55,104_1b1_Al_sc_Litt3200.wav,7,104_1b1_Al_sc_Litt3200_cycle_7.wav,1018,10.18,37520,47520,9.38,11.88,2.5,4000,25.0,10.0,150.95,335.6
56,104_1b1_Al_sc_Litt3200.wav,8,104_1b1_Al_sc_Litt3200_cycle_8.wav,1144,11.44,42560,52560,10.64,13.14,2.5,4000,25.0,10.0,150.95,308.37
57,104_1b1_Al_sc_Litt3200.wav,9,104_1b1_Al_sc_Litt3200_cycle_9.wav,1246,12.46,46640,56640,11.66,14.16,2.5,4000,25.0,10.0,150.95,430.94
58,104_1b1_Al_sc_Litt3200.wav,10,104_1b1_Al_sc_Litt3200_cycle_10.wav,1385,13.85,52200,62200,13.05,15.55,2.5,4000,25.0,10.0,150.95,274.84
59,104_1b1_Ar_sc_Litt3200.wav,1,104_1b1_Ar_sc_Litt3200_cycle_1.wav,189,1.89,4360,14360,1.09,3.59,2.5,4000,25.0,10.0,174.76,400.67
60,104_1b1_Ar_sc_Litt3200.wav,2,104_1b1_Ar_sc_Litt3200_cycle_2.wav,381,3.81,12040,22040,3.01,5.51,2.5,4000,25.0,10.0,174.76,350.1
61,104_1b1_Ar_sc_Litt3200.wav,3,104_1b1_Ar_sc_Litt3200_cycle_3.wav,484,4.84,16160,26160,4.04,6.54,2.5,4000,25.0,10.0,174.76,473.71
62,104_1b1_Ar_sc_Litt3200.wav,4,104_1b1_Ar_sc_Litt3200_cycle_4.wav,667,6.67,23480,33480,5.87,8.37,2.5,4000,25.0,10.0,174.76,437.53
63,104_1b1_Ar_sc_Litt3200.wav,5,104_1b1_Ar_sc_Litt3200_cycle_5.wav,807,8.07,29080,39080,7.27,9.77,2.5,4000,25.0,10.0,174.76,460.55
64,104_1b1_Ar_sc_Litt3200.wav,6,104_1b1_Ar_sc_Litt3200_cycle_6.wav,1000,10.0,36800,46800,9.2,11.7,2.5,4000,25.0,10.0,174.76,384.18
65,104_1b1_Ar_sc_Litt3200.wav,7,104_1b1_Ar_sc_Litt3200_cycle_7.wav,1162,11.62,43280,53280,10.82,13.32,2.5,4000,25.0,10.0,174.76,439.22
66,104_1b1_Ar_sc_Litt3200.wav,8,104_1b1_Ar_sc_Litt3200_cycle_8.wav,1321,13.21,49640,59640,12.41,14.91,2.5,4000,25.0,10.0,174.76,435.78
67,104_1b1_Ar_sc_Litt3200.wav,9,104_1b1_Ar_sc_Litt3200_cycle_9.wav,1469,14.69,55560,65560,13.89,16.39,2.5,4000,25.0,10.0,174.76,244.06
68,104_1b1_Ar_sc_Litt3200.wav,10,104_1b1_Ar_sc_Litt3200_cycle_10.wav,1595,15.95,60600,70600,15.15,17.65,2.5,4000,25.0,10.0,174.76,394.25
69,104_1b1_Ar_sc_Litt3200.wav,11,104_1b1_Ar_sc_Litt3200_cycle_11.wav,1763,17.63,67320,77320,16.83,19.33,2.5,4000,25.0,10.0,174.76,361.75
70,104_1b1_Ar_sc_Litt3200.wav,12,104_1b1_Ar_sc_Litt3200_cycle_12.wav,1864,18.64,71360,81360,17.84,20.34,2.5,4000,25.0,10.0,174.76,494.27
71,104_1b1_Ar_sc_Litt3200.wav,13,104_1b1_Ar_sc_Litt3200_cycle_13.wav,2035,20.35,78200,88200,19.55,22.05,2.5,4000,25.0,10.0,174.76,356.18
72,104_1b1_Ar_sc_Litt3200.wav,14,104_1b1_Ar_sc_Litt3200_cycle_14.wav,2164,21.64,83360,93360,20.84,23.34,2.5,4000,25.0,10.0,174.76,335.82
73,104_1b1_Ar_sc_Litt3200.wav,15,104_1b1_Ar_sc_Litt3200_cycle_15.wav,2339,23.39,90360,100360,22.59,25.09,2.5,4000,25.0,10.0,174.76,359.72
74,104_1b1_Ll_sc_Litt3200.wav,1,104_1b1_Ll_sc_Litt3200_cycle_1.wav,234,2.34,6160,16160,1.54,4.04,2.5,4000,25.0,10.0,107.18,370.79
75,104_1b1_Ll_sc_Litt3200.wav,2,104_1b1_Ll_sc_Litt3200_cycle_2.wav,390,3.9,12400,22400,3.1,5.6,2.5,4000,25.0,10.0,107.18,346.62
76,104_1b1_Ll_sc_Litt3200.wav,3,104_1b1_Ll_sc_Litt3200_cycle_3.wav,567,5.67,19480,29480,4.87,7.37,2.5,4000,25.0,10.0,107.18,304.0
77,104_1b1_Ll_sc_Litt3200.wav,4,104_1b1_Ll_sc_Litt3200_cycle_4.wav,679,6.79,23960,33960,5.99,8.49,2.5,4000,25.0,10.0,107.18,212.42
78,104_1b1_Ll_sc_Litt3200.wav,5,104_1b1_Ll_sc_Litt3200_cycle_5.wav,855,8.55,31000,41000,7.75,10.25,2.5,4000,25.0,10.0,107.18,362.52
79,104_1b1_Ll_sc_Litt3200.wav,6,104_1b1_Ll_sc_Litt3200_cycle_6.wav,1024,10.24,37760,47760,9.44,11.94,2.5,4000,25.0,10.0,107.18,422.63
80,104_1b1_Ll_sc_Litt3200.wav,7,104_1b1_Ll_sc_Litt3200_cycle_7.wav,1130,11.3,42000,52000,10.5,13.0,2.5,4000,25.0,10.0,107.18,365.1
81,104_1b1_Ll_sc_Litt3200.wav,8,104_1b1_Ll_sc_Litt3200_cycle_8.wav,1309,13.09,49160,59160,12.29,14.79,2.5,4000,25.0,10.0,107.18,286.75
82,104_1b1_Ll_sc_Litt3200.wav,9,104_1b1_Ll_sc_Litt3200_cycle_9.wav,1412,14.12,53280,63280,13.32,15.82,2.5,4000,25.0,10.0,107.18,220.8
83,104_1b1_Ll_sc_Litt3200.wav,10,104_1b1_Ll_sc_Litt3200_cycle_10.wav,1518,15.18,57520,67520,14.38,16.88,2.5,4000,25.0,10.0,107.18,252.45
84,104_1b1_Ll_sc_Litt3200.wav,11,104_1b1_Ll_sc_Litt3200_cycle_11.wav,1643,16.43,62520,72520,15.63,18.13,2.5,4000,25.0,10.0,107.18,113.3
85,104_1b1_Lr_sc_Litt3200.wav,1,104_1b1_Lr_sc_Litt3200_cycle_1.wav,150,1.5,2800,12800,0.7,3.2,2.5,4000,25.0,10.0,76.43,218.45
86,104_1b1_Lr_sc_Litt3200.wav,2,104_1b1_Lr_sc_Litt3200_cycle_2.wav,347,3.47,10680,20680,2.67,5.17,2.5,4000,25.0,10.0,76.43,207.12
87,104_1b1_Lr_sc_Litt3200.wav,3,104_1b1_Lr_sc_Litt3200_cycle_3.wav,449,4.49,14760,24760,3.69,6.19,2.5,4000,25.0,10.0,76.43,150.47
88,104_1b1_Lr_sc_Litt3200.wav,4,104_1b1_Lr_sc_Litt3200_cycle_4.wav,551,5.51,18840,28840,4.71,7.21,2.5,4000,25.0,10.0,76.43,322.5
89,104_1b1_Lr_sc_Litt3200.wav,5,104_1b1_Lr_sc_Litt3200_cycle_5.wav,683,6.83,24120,34120,6.03,8.53,2.5,4000,25.0,10.0,76.43,246.95
90,104_1b1_Lr_sc_Litt3200.wav,6,104_1b1_Lr_sc_Litt3200_cycle_6.wav,789,7.89,28360,38360,7.09,9.59,2.5,4000,25.0,10.0,76.43,175.58
91,104_1b1_Lr_sc_Litt3200.wav,7,104_1b1_Lr_sc_Litt3200_cycle_7.wav,899,8.99,32760,42760,8.19,10.69,2.5,4000,25.0,10.0,76.43,125.75
92,104_1b1_Lr_sc_Litt3200.wav,8,104_1b1_Lr_sc_Litt3200_cycle_8.wav,1026,10.26,37840,47840,9.46,11.96,2.5,4000,25.0,10.0,76.43,127.52
93,104_1b1_Lr_sc_Litt3200.wav,9,104_1b1_Lr_sc_Litt3200_cycle_9.wav,1144,11.44,42560,52560,10.64,13.14,2.5,4000,25.0,10.0,76.43,200.13
94,104_1b1_Pl_sc_Litt3200.wav,1,104_1b1_Pl_sc_Litt3200_cycle_1.wav,199,1.99,4760,14760,1.19,3.69,2.5,4000,25.0,10.0,153.55,372.1
95,104_1b1_Pl_sc_Litt3200.wav,2,104_1b1_Pl_sc_Litt3200_cycle_2.wav,300,3.0,8800,18800,2.2,4.7,2.5,4000,25.0,10.0,153.55,277.22
96,104_1b1_Pl_sc_Litt3200.wav,3,104_1b1_Pl_sc_Litt3200_cycle_3.wav,411,4.11,13240,23240,3.31,5.81,2.5,4000,25.0,10.0,153.55,420.58
97,104_1b1_Pl_sc_Litt3200.wav,4,104_1b1_Pl_sc_Litt3200_cycle_4.wav,585,5.85,20200,30200,5.05,7.55,2.5,4000,25.0,10.0,153.55,480.22
98,104_1b1_Pl_sc_Litt3200.wav,5,104_1b1_Pl_sc_Litt3200_cycle_5.wav,692,6.92,24480,34480,6.12,8.62,2.5,4000,25.0,10.0,153.55,200.81
99,104_1b1_Pl_sc_Litt3200.wav,6,104_1b1_Pl_sc_Litt3200_cycle_6.wav,811,8.11,29240,39240,7.31,9.81,2.5,4000,25.0,10.0,153.55,328.49
100,104_1b1_Pl_sc_Litt3200.wav,7,104_1b1_Pl_sc_Litt3200_cycle_7.wav,968,9.68,35520,45520,8.88,11.38,2.5,4000,25.0,10.0,153.55,286.41
101,104_1b1_Pl_sc_Litt3200.wav,8,104_1b1_Pl_sc_Litt3200_cycle_8.wav,1092,10.92,40480,50480,10.12,12.62,2.5,4000,25.0,10.0,153.55,210.28
102,104_1b1_Pl_sc_Litt3200.wav,9,104_1b1_Pl_sc_Litt3200_cycle_9.wav,1205,12.05,45000,55000,11.25,13.75,2.5,4000,25.0,10.0,153.55,267.06
103,104_1b1_Pl_sc_Litt3200.wav,10,104_1b1_Pl_sc_Litt3200_cycle_10.wav,1306,13.06,49040,59040,12.26,14.76,2.5,4000,25.0,10.0,153.55,233.79
104,104_1b1_Pl_sc_Litt3200.wav,11,104_1b1_Pl_sc_Litt3200_cycle_11.wav,1503,15.03,56920,66920,14.23,16.73,2.5,4000,25.0,10.0,153.55,262.98
105,104_1b1_Pl_sc_Litt3200.wav,12,104_1b1_Pl_sc_Litt3200_cycle_12.wav,1661,16.61,63240,73240,15.81,18.31,2.5,4000,25.0,10.0,153.55,265.28
106,104_1b1_Pl_sc_Litt3200.wav,13,104_1b1_Pl_sc_Litt3200_cycle_13.wav,1830,18.3,70000,80000,17.5,20.0,2.5,4000,25.0,10.0,153.55,299.88
107,104_1b1_Pl_sc_Litt3200.wav,14,104_1b1_Pl_sc_Litt3200_cycle_14.wav,1933,19.33,74120,84120,18.53,21.03,2.5,4000,25.0,10.0,153.55,154.95
108,104_1b1_Pl_sc_Litt3200.wav,15,104_1b1_Pl_sc_Litt3200_cycle_15.wav,2068,20.68,79520,89520,19.88,22.38,2.5,4000,25.0,10.0,153.55,244.67
109,104_1b1_Pr_sc_Litt3200.wav,1,104_1b1_Pr_sc_Litt3200_cycle_1.wav,176,1.76,3840,13840,0.96,3.46,2.5,4000,25.0,10.0,129.14,160.96
110,104_1b1_Pr_sc_Litt3200.wav,2,104_1b1_Pr_sc_Litt3200_cycle_2.wav,285,2.85,8200,18200,2.05,4.55,2.5,4000,25.0,10.0,129.14,334.18
111,104_1b1_Pr_sc_Litt3200.wav,3,104_1b1_Pr_sc_Litt3200_cycle_3.wav,545,5.45,18600,28600,4.65,7.15,2.5,4000,25.0,10.0,129.14,321.1
112,104_1b1_Pr_sc_Litt3200.wav,4,104_1b1_Pr_sc_Litt3200_cycle_4.wav,681,6.81,24040,34040,6.01,8.51,2.5,4000,25.0,10.0,129.14,421.29
113,104_1b1_Pr_sc_Litt3200.wav,5,104_1b1_Pr_sc_Litt3200_cycle_5.wav,800,8.0,28800,38800,7.2,9.7,2.5,4000,25.0,10.0,129.14,221.07
114,104_1b1_Pr_sc_Litt3200.wav,6,104_1b1_Pr_sc_Litt3200_cycle_6.wav,904,9.04,32960,42960,8.24,10.74,2.5,4000,25.0,10.0,129.14,469.27
115,104_1b1_Pr_sc_Litt3200.wav,7,104_1b1_Pr_sc_Litt3200_cycle_7.wav,1095,10.95,40600,50600,10.15,12.65,2.5,4000,25.0,10.0,129.14,426.05
116,104_1b1_Pr_sc_Litt3200.wav,8,104_1b1_Pr_sc_Litt3200_cycle_8.wav,1270,12.7,47600,57600,11.9,14.4,2.5,4000,25.0,10.0,129.14,153.61
117,104_1b1_Pr_sc_Litt3200.wav,9,104_1b1_Pr_sc_Litt3200_cycle_9.wav,1373,13.73,51720,61720,12.93,15.43,2.5,4000,25.0,10.0,129.14,370.33
118,104_1b1_Pr_sc_Litt3200.wav,10,104_1b1_Pr_sc_Litt3200_cycle_10.wav,1499,14.99,56760,66760,14.19,16.69,2.5,4000,25.0,10.0,129.14,208.46
119,104_1b1_Pr_sc_Litt3200.wav,11,104_1b1_Pr_sc_Litt3200_cycle_11.wav,1601,16.01,60840,70840,15.21,17.71,2.5,4000,25.0,10.0,129.14,279.26
120,104_1b1_Pr_sc_Litt3200.wav,12,104_1b1_Pr_sc_Litt3200_cycle_12.wav,1716,17.16,65440,75440,16.36,18.86,2.5,4000,25.0,10.0,129.14,287.03
121,104_1b1_Pr_sc_Litt3200.wav,13,104_1b1_Pr_sc_Litt3200_cycle_13.wav,1908,19.08,73120,83120,18.28,20.78,2.5,4000,25.0,10.0,129.14,254.66
122,104_1b1_Pr_sc_Litt3200.wav,14,104_1b1_Pr_sc_Litt3200_cycle_14.wav,2090,20.9,80400,90400,20.1,22.6,2.5,4000,25.0,10.0,129.14,245.57
123,104_1b1_Pr_sc_Litt3200.wav,15,104_1b1_Pr_sc_Litt3200_cycle_15.wav,2198,21.98,84720,94720,21.18,23.68,2.5,4000,25.0,10.0,129.14,250.03
124,105_1b1_Tc_sc_Meditron.wav,1,105_1b1_Tc_sc_Meditron_cycle_1.wav,104,1.04,10584,120834,0.24,2.74,2.5,44100,25.0,10.0,3365.22,11032.21
125,105_1b1_Tc_sc_Meditron.wav,2,105_1b1_Tc_sc_Meditron_cycle_2.wav,231,2.31,66591,176841,1.51,4.01,2.5,44100,25.0,10.0,3365.22,7950.83
126,105_1b1_Tc_sc_Meditron.wav,3,105_1b1_Tc_sc_Meditron_cycle_3.wav,360,3.6,123480,233730,2.8,5.3,2.5,44100,25.0,10.0,3365.22,10077.29
127,105_1b1_Tc_sc_Meditron.wav,4,105_1b1_Tc_sc_Meditron_cycle_4.wav,488,4.88,179928,290178,4.08,6.58,2.5,44100,25.0,10.0,3365.22,7934.98
128,105_1b1_Tc_sc_Meditron.wav,5,105_1b1_Tc_sc_Meditron_cycle_5.wav,615,6.15,235935,346185,5.35,7.85,2.5,44100,25.0,10.0,3365.22,11086.53
129,105_1b1_Tc_sc_Meditron.wav,6,105_1b1_Tc_sc_Meditron_cycle_6.wav,750,7.5,295470,405720,6.7,9.2,2.5,44100,25.0,10.0,3365.22,6799.47
130,105_1b1_Tc_sc_Meditron.wav,7,105_1b1_Tc_sc_Meditron_cycle_7.wav,875,8.75,350595,460845,7.95,10.45,2.5,44100,25.0,10.0,3365.22,10770.04
131,105_1b1_Tc_sc_Meditron.wav,8,105_1b1_Tc_sc_Meditron_cycle_8.wav,1035,10.35,421155,531405,9.55,12.05,2.5,44100,25.0,10.0,3365.22,9973.22
132,105_1b1_Tc_sc_Meditron.wav,9,105_1b1_Tc_sc_Meditron_cycle_9.wav,1176,11.76,483336,593586,10.96,13.46,2.5,44100,25.0,10.0,3365.22,10921.18
133,105_1b1_Tc_sc_Meditron.wav,10,105_1b1_Tc_sc_Meditron_cycle_10.wav,1332,13.32,552132,662382,12.52,15.02,2.5,44100,25.0,10.0,3365.22,10626.93
134,105_1b1_Tc_sc_Meditron.wav,11,105_1b1_Tc_sc_Meditron_cycle_11.wav,1461,14.61,609021,719271,13.81,16.31,2.5,44100,25.0,10.0,3365.22,10062.19
135,105_1b1_Tc_sc_Meditron.wav,12,105_1b1_Tc_sc_Meditron_cycle_12.wav,1619,16.19,678699,788949,15.39,17.89,2.5,44100,25.0,10.0,3365.22,8662.94
136,105_1b1_Tc_sc_Meditron.wav,13,105_1b1_Tc_sc_Meditron_cycle_13.wav,1767,17.67,743967,854217,16.87,19.37,2.5,44100,25.0,10.0,3365.22,11340.55
137,106_2b1_Pl_mc_LittC2SE.wav,1,106_2b1_Pl_mc_LittC2SE_cycle_1.wav,195,1.95,50715,160965,1.15,3.65,2.5,44100,25.0,10.0,2134.65,4292.47
138,106_2b1_Pl_mc_LittC2SE.wav,2,106_2b1_Pl_mc_LittC2SE_cycle_2.wav,314,3.14,103194,213444,2.34,4.84,2.5,44100,25.0,10.0,2134.65,3813.62
139,106_2b1_Pl_mc_LittC2SE.wav,3,106_2b1_Pl_mc_LittC2SE_cycle_3.wav,442,4.42,159642,269892,3.62,6.12,2.5,44100,25.0,10.0,2134.65,3298.22
140,106_2b1_Pl_mc_LittC2SE.wav,4,106_2b1_Pl_mc_LittC2SE_cycle_4.wav,608,6.08,232848,343098,5.28,7.78,2.5,44100,25.0,10.0,2134.65,3622.66
141,106_2b1_Pl_mc_LittC2SE.wav,5,106_2b1_Pl_mc_LittC2SE_cycle_5.wav,711,7.11,278271,388521,6.31,8.81,2.5,44100,25.0,10.0,2134.65,4222.5
