cycle_id,recording,cycle_in_recording,cycle_filename,peak_frame,peak_time_s,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,frame_ms,hop_ms,slope_threshold,peak_slope_value
53,103_2b2_Ar_mc_LittC2SE.wav,14,103_2b2_Ar_mc_LittC2SE_slope_cycle_14.wav,1743,17.43,733383,843633,16.63,19.13,2.5,44100,25.0,10.0,80.07,699.77
54,104_1b1_Al_sc_Litt3200.wav,1,104_1b1_Al_sc_Litt3200_slope_cycle_1.wav,124,1.24,1760,11760,0.44,2.94,2.5,4000,25.0,10.0,23.36,214.39
55,104_1b1_Al_sc_Litt3200.wav,2,104_1b1_Al_sc_Litt3200_slope_cycle_2.wav,321,3.21,9640,19640,2.41,4.91,2.5,4000,25.0,10.0,23.36,287.66
56,104_1b1_Al_sc_Litt3200.wav,3,104_1b1_Al_sc_Litt3200_slope_cycle_3.wav,450,4.5,14800,24800,3.7,6.2,2.5,4000,25.0,10.0,23.36,117.61
57,104_1b1_Al_sc_Litt3200.wav,4,104_1b1_Al_sc_Litt3200_slope_cycle_4.wav,569,5.69,19560,29560,4.89,7.39,2.5,4000,25.0,10.0,23.36,269.43
58,104_1b1_Al_sc_Litt3200.wav,5,104_1b1_Al_sc_Litt3200_slope_cycle_5.wav,754,7.54,26960,36960,6.74,9.24,2.5,4000,25.0,10.0,23.36,239.62
59,104_1b1_Al_sc_Litt3200.wav,6,104_1b1_Al_sc_Litt3200_slope_cycle_6.wav,885,8.85,32200,42200,8.05,10.55,2.5,4000,25.0,10.0,23.36,189.22
60,104_1b1_Al_sc_Litt3200.wav,7,104_1b1_Al_sc_Litt3200_slope_cycle_7.wav,1067,10.67,39480,49480,9.87,12.37,2.5,4000,25.0,10.0,23.36,99.69
61,104_1b1_Al_sc_Litt3200.wav,8,104_1b1_Al_sc_Litt3200_slope_cycle_8.wav,1245,12.45,46600,56600,11.65,14.15,2.5,4000,25.0,10.0,23.36,294.33
62,104_1b1_Ar_sc_Litt3200.wav,1,104_1b1_Ar_sc_Litt3200_slope_cycle_1.wav,188,1.88,4320,14320,1.08,3.58,2.5,4000,25.0,10.0,29.47,259.49
63,104_1b1_Ar_sc_Litt3200.wav,2,104_1b1_Ar_sc_Litt3200_slope_cycle_2.wav,380,3.8,12000,22000,3.0,5.5,2.5,4000,25.0,10.0,29.47,187.51
64,104_1b1_Ar_sc_Litt3200.wav,3,104_1b1_Ar_sc_Litt3200_slope_cycle_3.wav,483,4.83,16120,26120,4.03,6.53,2.5,4000,25.0,10.0,29.47,323.74
65,104_1b1_Ar_sc_Litt3200.wav,4,104_1b1_Ar_sc_Litt3200_slope_cycle_4.wav,665,6.65,23400,33400,5.85,8.35,2.5,4000,25.0,10.0,29.47,273.99
66,104_1b1_Ar_sc_Litt3200.wav,5,104_1b1_Ar_sc_Litt3200_slope_cycle_5.wav,771,7.71,27640,37640,6.91,9.41,2.5,4000,25.0,10.0,29.47,38.35
67,104_1b1_Ar_sc_Litt3200.wav,6,104_1b1_Ar_sc_Litt3200_slope_cycle_6.wav,874,8.74,31760,41760,7.94,10.44,2.5,4000,25.0,10.0,29.47,274.47
68,104_1b1_Ar_sc_Litt3200.wav,7,104_1b1_Ar_sc_Litt3200_slope_cycle_7.wav,999,9.99,36760,46760,9.19,11.69,2.5,4000,25.0,10.0,29.47,235.01
69,104_1b1_Ar_sc_Litt3200.wav,8,104_1b1_Ar_sc_Litt3200_slope_cycle_8.wav,1147,11.47,42680,52680,10.67,13.17,2.5,4000,25.0,10.0,29.47,186.06
70,104_1b1_Ar_sc_Litt3200.wav,9,104_1b1_Ar_sc_Litt3200_slope_cycle_9.wav,1315,13.15,49400,59400,12.35,14.85,2.5,4000,25.0,10.0,29.47,178.77
71,104_1b1_Ar_sc_Litt3200.wav,10,104_1b1_Ar_sc_Litt3200_slope_cycle_10.wav,1466,14.66,55440,65440,13.86,16.36,2.5,4000,25.0,10.0,29.47,117.2
72,104_1b1_Ar_sc_Litt3200.wav,11,104_1b1_Ar_sc_Litt3200_slope_cycle_11.wav,1593,15.93,60520,70520,15.13,17.63,2.5,4000,25.0,10.0,29.47,219.63
73,104_1b1_Ar_sc_Litt3200.wav,12,104_1b1_Ar_sc_Litt3200_slope_cycle_12.wav,1730,17.3,66000,76000,16.5,19.0,2.5,4000,25.0,10.0,29.47,196.81
74,104_1b1_Ar_sc_Litt3200.wav,13,104_1b1_Ar_sc_Litt3200_slope_cycle_13.wav,1863,18.63,71320,81320,17.83,20.33,2.5,4000,25.0,10.0,29.47,245.95
75,104_1b1_Ar_sc_Litt3200.wav,14,104_1b1_Ar_sc_Litt3200_slope_cycle_14.wav,1968,19.68,75520,85520,18.88,21.38,2.5,4000,25.0,10.0,29.47,72.45
76,104_1b1_Ar_sc_Litt3200.wav,15,104_1b1_Ar_sc_Litt3200_slope_cycle_15.wav,2072,20.72,79680,89680,19.92,22.42,2.5,4000,25.0,10.0,29.47,186.7
77,104_1b1_Ar_sc_Litt3200.wav,16,104_1b1_Ar_sc_Litt3200_slope_cycle_16.wav,2206,22.06,85040,95040,21.26,23.76,2.5,4000,25.0,10.0,29.47,96.52
78,104_1b1_Ar_sc_Litt3200.wav,17,104_1b1_Ar_sc_Litt3200_slope_cycle_17.wav,2329,23.29,89960,99960,22.49,24.99,2.5,4000,25.0,10.0,29.47,127.47
79,104_1b1_Ll_sc_Litt3200.wav,1,104_1b1_Ll_sc_Litt3200_slope_cycle_1.wav,132,1.32,2080,12080,0.52,3.02,2.5,4000,25.0,10.0,17.79,51.72
80,104_1b1_Ll_sc_Litt3200.wav,2,104_1b1_Ll_sc_Litt3200_slope_cycle_2.wav,236,2.36,6240,16240,1.56,4.06,2.5,4000,25.0,10.0,17.79,183.74
81,104_1b1_Ll_sc_Litt3200.wav,3,104_1b1_Ll_sc_Litt3200_slope_cycle_3.wav,389,3.89,12360,22360,3.09,5.59,2.5,4000,25.0,10.0,17.79,205.66
82,104_1b1_Ll_sc_Litt3200.wav,4,104_1b1_Ll_sc_Litt3200_slope_cycle_4.wav,566,5.66,19440,29440,4.86,7.36,2.5,4000,25.0,10.0,17.79,198.87
83,104_1b1_Ll_sc_Litt3200.wav,5,104_1b1_Ll_sc_Litt3200_slope_cycle_5.wav,678,6.78,23920,33920,5.98,8.48,2.5,4000,25.0,10.0,17.79,171.98
84,104_1b1_Ll_sc_Litt3200.wav,6,104_1b1_Ll_sc_Litt3200_slope_cycle_6.wav,858,8.58,31120,41120,7.78,10.28,2.5,4000,25.0,10.0,17.79,213.44
85,104_1b1_Ll_sc_Litt3200.wav,7,104_1b1_Ll_sc_Litt3200_slope_cycle_7.wav,1023,10.23,37720,47720,9.43,11.93,2.5,4000,25.0,10.0,17.79,219.08
86,104_1b1_Ll_sc_Litt3200.wav,8,104_1b1_Ll_sc_Litt3200_slope_cycle_8.wav,1125,11.25,41800,51800,10.45,12.95,2.5,4000,25.0,10.0,17.79,171.32
87,104_1b1_Ll_sc_Litt3200.wav,9,104_1b1_Ll_sc_Litt3200_slope_cycle_9.wav,1308,13.08,49120,59120,12.28,14.78,2.5,4000,25.0,10.0,17.79,147.43
88,104_1b1_Ll_sc_Litt3200.wav,10,104_1b1_Ll_sc_Litt3200_slope_cycle_10.wav,1458,14.58,55120,65120,13.78,16.28,2.5,4000,25.0,10.0,17.79,85.51
89,104_1b1_Ll_sc_Litt3200.wav,11,104_1b1_Ll_sc_Litt3200_slope_cycle_11.wav,1563,15.63,59320,69320,14.83,17.33,2.5,4000,25.0,10.0,17.79,156.08
90,104_1b1_Lr_sc_Litt3200.wav,1,104_1b1_Lr_sc_Litt3200_slope_cycle_1.wav,199,1.99,4760,14760,1.19,3.69,2.5,4000,25.0,10.0,14.38,166.85
91,104_1b1_Lr_sc_Litt3200.wav,2,104_1b1_Lr_sc_Litt3200_slope_cycle_2.wav,394,3.94,12560,22560,3.14,5.64,2.5,4000,25.0,10.0,14.38,99.97
92,104_1b1_Lr_sc_Litt3200.wav,3,104_1b1_Lr_sc_Litt3200_slope_cycle_3.wav,550,5.5,18800,28800,4.7,7.2,2.5,4000,25.0,10.0,14.38,292.97
93,104_1b1_Lr_sc_Litt3200.wav,4,104_1b1_Lr_sc_Litt3200_slope_cycle_4.wav,682,6.82,24080,34080,6.02,8.52,2.5,4000,25.0,10.0,14.38,126.92
94,104_1b1_Lr_sc_Litt3200.wav,5,104_1b1_Lr_sc_Litt3200_slope_cycle_5.wav,821,8.21,29640,39640,7.41,9.91,2.5,4000,25.0,10.0,14.38,88.95
95,104_1b1_Lr_sc_Litt3200.wav,6,104_1b1_Lr_sc_Litt3200_slope_cycle_6.wav,936,9.36,34240,44240,8.56,11.06,2.5,4000,25.0,10.0,14.38,81.48
96,104_1b1_Lr_sc_Litt3200.wav,7,104_1b1_Lr_sc_Litt3200_slope_cycle_7.wav,1134,11.34,42160,52160,10.54,13.04,2.5,4000,25.0,10.0,14.38,83.39
97,104_1b1_Lr_sc_Litt3200.wav,8,104_1b1_Lr_sc_Litt3200_slope_cycle_8.wav,1255,12.55,47000,57000,11.75,14.25,2.5,4000,25.0,10.0,14.38,56.1
98,104_1b1_Pl_sc_Litt3200.wav,1,104_1b1_Pl_sc_Litt3200_slope_cycle_1.wav,211,2.11,5240,15240,1.31,3.81,2.5,4000,25.0,10.0,21.13,211.91
99,104_1b1_Pl_sc_Litt3200.wav,2,104_1b1_Pl_sc_Litt3200_slope_cycle_2.wav,385,3.85,12200,22200,3.05,5.55,2.5,4000,25.0,10.0,21.13,231.09
100,104_1b1_Pl_sc_Litt3200.wav,3,104_1b1_Pl_sc_Litt3200_slope_cycle_3.wav,506,5.06,17040,27040,4.26,6.76,2.5,4000,25.0,10.0,21.13,153.71
101,104_1b1_Pl_sc_Litt3200.wav,4,104_1b1_Pl_sc_Litt3200_slope_cycle_4.wav,606,6.06,21040,31040,5.26,7.76,2.5,4000,25.0,10.0,21.13,269.25
102,104_1b1_Pl_sc_Litt3200.wav,5,104_1b1_Pl_sc_Litt3200_slope_cycle_5.wav,724,7.24,25760,35760,6.44,8.94,2.5,4000,25.0,10.0,21.13,109.02
103,104_1b1_Pl_sc_Litt3200.wav,6,104_1b1_Pl_sc_Litt3200_slope_cycle_6.wav,871,8.71,31640,41640,7.91,10.41,2.5,4000,25.0,10.0,21.13,67.96
104,104_1b1_Pl_sc_Litt3200.wav,7,104_1b1_Pl_sc_Litt3200_slope_cycle_7.wav,1021,10.21,37640,47640,9.41,11.91,2.5,4000,25.0,10.0,21.13,155.21
105,104_1b1_Pl_sc_Litt3200.wav,8,104_1b1_Pl_sc_Litt3200_slope_cycle_8.wav,1123,11.23,41720,51720,10.43,12.93,2.5,4000,25.0,10.0,21.13,52.42
106,104_1b1_Pl_sc_Litt3200.wav,9,104_1b1_Pl_sc_Litt3200_slope_cycle_9.wav,1260,12.6,47200,57200,11.8,14.3,2.5,4000,25.0,10.0,21.13,113.18
107,104_1b1_Pl_sc_Litt3200.wav,10,104_1b1_Pl_sc_Litt3200_slope_cycle_10.wav,1368,13.68,51520,61520,12.88,15.38,2.5,4000,25.0,10.0,21.13,83.32
108,104_1b1_Pl_sc_Litt3200.wav,11,104_1b1_Pl_sc_Litt3200_slope_cycle_11.wav,1492,14.92,56480,66480,14.12,16.62,2.5,4000,25.0,10.0,21.13,122.29
109,104_1b1_Pl_sc_Litt3200.wav,12,104_1b1_Pl_sc_Litt3200_slope_cycle_12.wav,1637,16.37,62280,72280,15.57,18.07,2.5,4000,25.0,10.0,21.13,149.08
110,104_1b1_Pl_sc_Litt3200.wav,13,104_1b1_Pl_sc_Litt3200_slope_cycle_13.wav,1800,18.0,68800,78800,17.2,19.7,2.5,4000,25.0,10.0,21.13,110.29
111,104_1b1_Pl_sc_Litt3200.wav,14,104_1b1_Pl_sc_Litt3200_slope_cycle_14.wav,1900,19.0,72800,82800,18.2,20.7,2.5,4000,25.0,10.0,21.13,53.94
112,104_1b1_Pl_sc_Litt3200.wav,15,104_1b1_Pl_sc_Litt3200_slope_cycle_15.wav,2061,20.61,79240,89240,19.81,22.31,2.5,4000,25.0,10.0,21.13,103.43
113,104_1b1_Pr_sc_Litt3200.wav,1,104_1b1_Pr_sc_Litt3200_slope_cycle_1.wav,179,1.79,3960,13960,0.99,3.49,2.5,4000,25.0,10.0,17.99,75.51
114,104_1b1_Pr_sc_Litt3200.wav,2,104_1b1_Pr_sc_Litt3200_slope_cycle_2.wav,283,2.83,8120,18120,2.03,4.53,2.5,4000,25.0,10.0,17.99,173.96
115,104_1b1_Pr_sc_Litt3200.wav,3,104_1b1_Pr_sc_Litt3200_slope_cycle_3.wav,388,3.88,12320,22320,3.08,5.58,2.5,4000,25.0,10.0,17.99,83.16
116,104_1b1_Pr_sc_Litt3200.wav,4,104_1b1_Pr_sc_Litt3200_slope_cycle_4.wav,543,5.43,18520,28520,4.63,7.13,2.5,4000,25.0,10.0,17.99,173.09
117,104_1b1_Pr_sc_Litt3200.wav,5,104_1b1_Pr_sc_Litt3200_slope_cycle_5.wav,679,6.79,23960,33960,5.99,8.49,2.5,4000,25.0,10.0,17.99,217.21
118,104_1b1_Pr_sc_Litt3200.wav,6,104_1b1_Pr_sc_Litt3200_slope_cycle_6.wav,880,8.8,32000,42000,8.0,10.5,2.5,4000,25.0,10.0,17.99,210.81
119,104_1b1_Pr_sc_Litt3200.wav,7,104_1b1_Pr_sc_Litt3200_slope_cycle_7.wav,1030,10.3,38000,48000,9.5,12.0,2.5,4000,25.0,10.0,17.99,140.75
120,104_1b1_Pr_sc_Litt3200.wav,8,104_1b1_Pr_sc_Litt3200_slope_cycle_8.wav,1184,11.84,44160,54160,11.04,13.54,2.5,4000,25.0,10.0,17.99,237.79
121,104_1b1_Pr_sc_Litt3200.wav,9,104_1b1_Pr_sc_Litt3200_slope_cycle_9.wav,1308,13.08,49120,59120,12.28,14.78,2.5,4000,25.0,10.0,17.99,170.17
122,104_1b1_Pr_sc_Litt3200.wav,10,104_1b1_Pr_sc_Litt3200_slope_cycle_10.wav,1446,14.46,54640,64640,13.66,16.16,2.5,4000,25.0,10.0,17.99,277.85
123,104_1b1_Pr_sc_Litt3200.wav,11,104_1b1_Pr_sc_Litt3200_slope_cycle_11.wav,1638,16.38,62320,72320,15.58,18.08,2.5,4000,25.0,10.0,17.99,114.91
124,104_1b1_Pr_sc_Litt3200.wav,12,104_1b1_Pr_sc_Litt3200_slope_cycle_12.wav,1801,18.01,68840,78840,17.21,19.71,2.5,4000,25.0,10.0,17.99,71.67
125,104_1b1_Pr_sc_Litt3200.wav,13,104_1b1_Pr_sc_Litt3200_slope_cycle_13.wav,1926,19.26,73840,83840,18.46,20.96,2.5,4000,25.0,10.0,17.99,134.45
126,104_1b1_Pr_sc_Litt3200.wav,14,104_1b1_Pr_sc_Litt3200_slope_cycle_14.wav,2053,20.53,78920,88920,19.73,22.23,2.5,4000,25.0,10.0,17.99,112.28
127,104_1b1_Pr_sc_Litt3200.wav,15,104_1b1_Pr_sc_Litt3200_slope_cycle_15.wav,2177,21.77,83880,93880,20.97,23.47,2.5,4000,25.0,10.0,17.99,83.27
128,105_1b1_Tc_sc_Meditron.wav,1,105_1b1_Tc_sc_Meditron_slope_cycle_1.wav,226,2.26,64386,174636,1.46,3.96,2.5,44100,25.0,10.0,299.98,3650.25
129,105_1b1_Tc_sc_Meditron.wav,2,105_1b1_Tc_sc_Meditron_slope_cycle_2.wav,346,3.46,117306,227556,2.66,5.16,2.5,44100,25.0,10.0,299.98,3606.39
130,105_1b1_Tc_sc_Meditron.wav,3,105_1b1_Tc_sc_Meditron_slope_cycle_3.wav,491,4.91,181251,291501,4.11,6.61,2.5,44100,25.0,10.0,299.98,1711.97
131,105_1b1_Tc_sc_Meditron.wav,4,105_1b1_Tc_sc_Meditron_slope_cycle_4.wav,612,6.12,234612,344862,5.32,7.82,2.5,44100,25.0,10.0,299.98,3455.04
132,105_1b1_Tc_sc_Meditron.wav,5,105_1b1_Tc_sc_Meditron_slope_cycle_5.wav,748,7.48,294588,404838,6.68,9.18,2.5,44100,25.0,10.0,299.98,3198.8
133,105_1b1_Tc_sc_Meditron.wav,6,105_1b1_Tc_sc_Meditron_slope_cycle_6.wav,892,8.92,358092,468342,8.12,10.62,2.5,44100,25.0,10.0,299.98,3152.15
134,105_1b1_Tc_sc_Meditron.wav,7,105_1b1_Tc_sc_Meditron_slope_cycle_7.wav,1031,10.31,419391,529641,9.51,12.01,2.5,44100,25.0,10.0,299.98,3850.16
135,105_1b1_Tc_sc_Meditron.wav,8,105_1b1_Tc_sc_Meditron_slope_cycle_8.wav,1170,11.7,480690,590940,10.9,13.4,2.5,44100,25.0,10.0,299.98,2511.47
136,105_1b1_Tc_sc_Meditron.wav,9,105_1b1_Tc_sc_Meditron_slope_cycle_9.wav,1330,13.3,551250,661500,12.5,15.0,2.5,44100,25.0,10.0,299.98,4030.71
137,105_1b1_Tc_sc_Meditron.wav,10,105_1b1_Tc_sc_Meditron_slope_cycle_10.wav,1460,14.6,608580,718830,13.8,16.3,2.5,44100,25.0,10.0,299.98,4454.68
138,105_1b1_Tc_sc_Meditron.wav,11,105_1b1_Tc_sc_Meditron_slope_cycle_11.wav,1618,16.18,678258,788508,15.38,17.88,2.5,44100,25.0,10.0,299.98,3473.32
